when, temp, solar radiation, humidity, wind speed, wind direction, rainfall
2020-02-19T00:00:00,6.8,0,80,6,280,1
2020-02-19T00:15:00,6.8,0,80,6,280,1
2020-02-19T00:30:00,6.8,0,80,6,280,1
2020-02-19T00:45:00,6.8,0,80,6,280,1
2020-02-19T01:00:00,6.9,0,79,6,290,0
2020-02-19T01:15:00,6.9,0,79,6,290,0
2020-02-19T01:30:00,6.9,0,79,6,290,0
2020-02-19T01:45:00,6.9,0,79,6,290,0
2020-02-19T02:00:00,5.9,0,76,8,290,-0.25
2020-02-19T02:15:00,5.9,0,76,8,290,-0.25
2020-02-19T02:30:00,5.9,0,76,8,290,-0.25
2020-02-19T02:45:00,5.9,0,76,8,290,-0.25
2020-02-19T03:00:00,5.6,0,76,8,280,0
2020-02-19T03:15:00,5.6,0,76,8,280,0
2020-02-19T03:30:00,5.6,0,76,8,280,0
2020-02-19T03:45:00,5.6,0,76,8,280,0
2020-02-19T04:00:00,5.7,0,74,7,290,0
2020-02-19T04:15:00,5.7,0,74,7,290,0
2020-02-19T04:30:00,5.7,0,74,7,290,0
2020-02-19T04:45:00,5.7,0,74,7,290,0
2020-02-19T05:00:00,5.6,0,76,7,290,0
2020-02-19T05:15:00,5.6,0,76,7,290,0
2020-02-19T05:30:00,5.6,0,76,7,290,0
2020-02-19T05:45:00,5.6,0,76,7,290,0
2020-02-19T06:00:00,5.4,0,75,7,280,0
2020-02-19T06:15:00,5.4,0,75,7,280,0
2020-02-19T06:30:00,5.4,0,75,7,280,0
2020-02-19T06:45:00,5.4,0,75,7,280,0
2020-02-19T07:00:00,5.6,11,75,7,270,0
2020-02-19T07:15:00,5.6,11,75,7,270,0
2020-02-19T07:30:00,5.6,11,75,7,270,0
2020-02-19T07:45:00,5.6,11,75,7,270,0
2020-02-19T08:00:00,6.4,53,73,7,270,0
2020-02-19T08:15:00,6.4,53,73,7,270,0
2020-02-19T08:30:00,6.4,53,73,7,270,0
2020-02-19T08:45:00,6.4,53,73,7,270,0
2020-02-19T09:00:00,6.6,78,71,8,260,0
2020-02-19T09:15:00,6.6,78,71,8,260,0
2020-02-19T09:30:00,6.6,78,71,8,260,0
2020-02-19T09:45:00,6.6,78,71,8,260,0
2020-02-19T10:00:00,7,106,69,8,260,0
2020-02-19T10:15:00,7,106,69,8,260,0
2020-02-19T10:30:00,7,106,69,8,260,0
2020-02-19T10:45:00,7,106,69,8,260,0
2020-02-19T11:00:00,7.7,169,65,8,270,0
2020-02-19T11:15:00,7.7,169,65,8,270,0
2020-02-19T11:30:00,7.7,169,65,8,270,0
2020-02-19T11:45:00,7.7,169,65,8,270,0
2020-02-19T12:00:00,7,122,68,8,270,0
2020-02-19T12:15:00,7,122,68,8,270,0
2020-02-19T12:30:00,7,122,68,8,270,0
2020-02-19T12:45:00,7,122,68,8,270,0
2020-02-19T13:00:00,7.3,117,69,8,250,0
2020-02-19T13:15:00,7.3,117,69,8,250,0
2020-02-19T13:30:00,7.3,117,69,8,250,0
2020-02-19T13:45:00,7.3,117,69,8,250,0
2020-02-19T14:00:00,6.8,71,71,8,240,0
2020-02-19T14:15:00,6.8,71,71,8,240,0
2020-02-19T14:30:00,6.8,71,71,8,240,0
2020-02-19T14:45:00,6.8,71,71,8,240,0
2020-02-19T15:00:00,6.9,32,71,8,240,0
2020-02-19T15:15:00,6.9,32,71,8,240,0
2020-02-19T15:30:00,6.9,32,71,8,240,0
2020-02-19T15:45:00,6.9,32,71,8,240,0
2020-02-19T16:00:00,6.8,10,76,6,220,0
2020-02-19T16:15:00,6.8,10,76,6,220,0
2020-02-19T16:30:00,6.8,10,76,6,220,0
2020-02-19T16:45:00,6.8,10,76,6,220,0
2020-02-19T17:00:00,6.8,0,81,7,220,-0.25
2020-02-19T17:15:00,6.8,0,81,7,220,-0.25
2020-02-19T17:30:00,6.8,0,81,7,220,-0.25
2020-02-19T17:45:00,6.8,0,81,7,220,-0.25
2020-02-19T18:00:00,6.5,0,86,7,230,-0.25
2020-02-19T18:15:00,6.5,0,86,7,230,-0.25
2020-02-19T18:30:00,6.5,0,86,7,230,-0.25
2020-02-19T18:45:00,6.5,0,86,7,230,-0.25
2020-02-19T19:00:00,6.4,0,89,7,210,0.25
2020-02-19T19:15:00,6.4,0,89,7,210,0.25
2020-02-19T19:30:00,6.4,0,89,7,210,0.25
2020-02-19T19:45:00,6.4,0,89,7,210,0.25
2020-02-19T20:00:00,6.2,0,92,6,190,0.5
2020-02-19T20:15:00,6.2,0,92,6,190,0.5
2020-02-19T20:30:00,6.2,0,92,6,190,0.5
2020-02-19T20:45:00,6.2,0,92,6,190,0.5
2020-02-19T21:00:00,6.5,0,91,7,190,-0.25
2020-02-19T21:15:00,6.5,0,91,7,190,-0.25
