when, temp, solar radiation, humidity, wind speed, wind direction, rainfall
2020-04-28T00:00:00,8.8,0,92,2,30,0
2020-04-28T00:15:00,8.8,0,92,2,30,0
2020-04-28T00:30:00,8.8,0,92,2,30,0
2020-04-28T00:45:00,8.8,0,92,2,30,0
2020-04-28T01:00:00,8.9,0,89,2,30,0
2020-04-28T01:15:00,8.9,0,89,2,30,0
2020-04-28T01:30:00,8.9,0,89,2,30,0
2020-04-28T01:45:00,8.9,0,89,2,30,0
2020-04-28T02:00:00,8,0,90,2,30,0
2020-04-28T02:15:00,8,0,90,2,30,0
2020-04-28T02:30:00,8,0,90,2,30,0
2020-04-28T02:45:00,8,0,90,2,30,0
2020-04-28T03:00:00,8.6,0,88,2,30,0
2020-04-28T03:15:00,8.6,0,88,2,30,0
2020-04-28T03:30:00,8.6,0,88,2,30,0
2020-04-28T03:45:00,8.6,0,88,2,30,0
2020-04-28T04:00:00,9.1,3,88,2,50,0
2020-04-28T04:15:00,9.1,3,88,2,50,0
2020-04-28T04:30:00,9.1,3,88,2,50,0
2020-04-28T04:45:00,9.1,3,88,2,50,0
2020-04-28T05:00:00,9.4,4,88,3,40,0
2020-04-28T05:15:00,9.4,4,88,3,40,0
2020-04-28T05:30:00,9.4,4,88,3,40,0
2020-04-28T05:45:00,9.4,4,88,3,40,0
2020-04-28T06:00:00,9.4,9,88,4,40,0
2020-04-28T06:15:00,9.4,9,88,4,40,0
2020-04-28T06:30:00,9.4,9,88,4,40,0
2020-04-28T06:45:00,9.4,9,88,4,40,0
2020-04-28T07:00:00,9.5,39,86,5,50,0
2020-04-28T07:15:00,9.5,39,86,5,50,0
2020-04-28T07:30:00,9.5,39,86,5,50,0
2020-04-28T07:45:00,9.5,39,86,5,50,0
2020-04-28T08:00:00,9.6,36,85,6,50,0.25
2020-04-28T08:15:00,9.6,36,85,6,50,0.25
2020-04-28T08:30:00,9.6,36,85,6,50,0.25
2020-04-28T08:45:00,9.6,36,85,6,50,0.25
2020-04-28T09:00:00,9.6,39,86,5,60,0.5
2020-04-28T09:15:00,9.6,39,86,5,60,0.5
2020-04-28T09:30:00,9.6,39,86,5,60,0.5
2020-04-28T09:45:00,9.6,39,86,5,60,0.5
2020-04-28T10:00:00,9.9,51,86,5,40,1
2020-04-28T10:15:00,9.9,51,86,5,40,1
2020-04-28T10:30:00,9.9,51,86,5,40,1
2020-04-28T10:45:00,9.9,51,86,5,40,1
2020-04-28T11:00:00,9.9,49,87,5,50,2
2020-04-28T11:15:00,9.9,49,87,5,50,2
2020-04-28T11:30:00,9.9,49,87,5,50,2
2020-04-28T11:45:00,9.9,49,87,5,50,2
2020-04-28T12:00:00,9.6,27,91,5,50,2
2020-04-28T12:15:00,9.6,27,91,5,50,2
2020-04-28T12:30:00,9.6,27,91,5,50,2
2020-04-28T12:45:00,9.6,27,91,5,50,2
2020-04-28T13:00:00,10,38,92,5,50,4
2020-04-28T13:15:00,10,38,92,5,50,4
2020-04-28T13:30:00,10,38,92,5,50,4
2020-04-28T13:45:00,10,38,92,5,50,4
2020-04-28T14:00:00,10.1,21,95,3,40,0.5
2020-04-28T14:15:00,10.1,21,95,3,40,0.5
2020-04-28T14:30:00,10.1,21,95,3,40,0.5
2020-04-28T14:45:00,10.1,21,95,3,40,0.5
2020-04-28T15:00:00,10,10,95,3,30,0.75
2020-04-28T15:15:00,10,10,95,3,30,0.75
2020-04-28T15:30:00,10,10,95,3,30,0.75
2020-04-28T15:45:00,10,10,95,3,30,0.75
2020-04-28T16:00:00,9.7,15,94,3,40,0
2020-04-28T16:15:00,9.7,15,94,3,40,0
2020-04-28T16:30:00,9.7,15,94,3,40,0
2020-04-28T16:45:00,9.7,15,94,3,40,0
2020-04-28T17:00:00,8.8,8,94,3,40,0
2020-04-28T17:15:00,8.8,8,94,3,40,0
2020-04-28T17:30:00,8.8,8,94,3,40,0
2020-04-28T17:45:00,8.8,8,94,3,40,0
2020-04-28T18:00:00,8.8,2,94,3,30,0
2020-04-28T18:15:00,8.8,2,94,3,30,0
2020-04-28T18:30:00,8.8,2,94,3,30,0
2020-04-28T18:45:00,8.8,2,94,3,30,0
2020-04-28T19:00:00,8.9,0,94,2,40,0
2020-04-28T19:15:00,8.9,0,94,2,40,0
2020-04-28T19:30:00,8.9,0,94,2,40,0
2020-04-28T19:45:00,8.9,0,94,2,40,0
2020-04-28T20:00:00,8.6,0,93,3,50,0
2020-04-28T20:15:00,8.6,0,93,3,50,0
2020-04-28T20:30:00,8.6,0,93,3,50,0
2020-04-28T20:45:00,8.6,0,93,3,50,0
2020-04-28T21:00:00,8.3,0,93,3,40,0
2020-04-28T21:15:00,8.3,0,93,3,40,0
2020-04-28T21:30:00,8.3,0,93,3,40,0
2020-04-28T21:45:00,8.3,0,93,3,40,0
2020-04-28T22:00:00,7.9,0,96,3,90,0
2020-04-28T22:15:00,7.9,0,96,3,90,0
2020-04-28T22:30:00,7.9,0,96,3,90,0
2020-04-28T22:45:00,7.9,0,96,3,90,0
2020-04-28T23:00:00,7.9,0,95,2,60,0
2020-04-28T23:15:00,7.9,0,95,2,60,0
2020-04-28T23:30:00,7.9,0,95,2,60,0
2020-04-28T23:45:00,7.9,0,95,2,60,0
